percentile_cutoff,EUR_raw_above_rate,SAS_raw_above_rate,EUR_recalibrated_above_rate,SAS_recalibrated_above_rate,error_reduction_percent
50,0.5009940357852882,0.9897750511247444,0.5009940357852882,0.523517382413088,95.1983298538622
60,0.3996023856858847,0.9795501022494888,0.3996023856858847,0.3946830265848671,99.08256880733946
70,0.3001988071570576,0.9447852760736196,0.3001988071570576,0.2678936605316973,95.02061528702822
80,0.2007952286282306,0.9059304703476484,0.2007952286282306,0.2004089979550102,99.94206257242178
85,0.151093439363817,0.8834355828220859,0.151093439363817,0.1554192229038855,99.26111808169524
90,0.1013916500994035,0.8139059304703476,0.1013916500994035,0.1104294478527607,98.53910054425666
95,0.05168986083499,0.7259713701431493,0.05168986083499,0.0408997955010225,98.65375888670395
99,0.0119284294234592,0.4008179959100204,0.0119284294234592,0.0122699386503067,99.41918266966668
