super_pop,count,mean,std,median,min,max
EUR,503,1.3618898031809143,0.5373912497643201,1.3380130000000003,0.0336380000000006,2.8822250000000005
AMR,347,2.387030896253602,0.6361096554207669,2.371258,0.7265419999999998,4.206736999999999
SAS,489,2.561302580777096,0.5378212533985302,2.5646220000000004,1.048469,4.213906999999998
EAS,504,3.3498993551587297,0.48123065949385796,3.346616,1.6254380000000004,4.782051999999999
AFR,661,3.8781856868381235,0.5129936861718256,3.862224,2.338686,5.174424999999999
